RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
1,Michigan,B10,29,27-2,"129.3
51,"VCU
   (H) 171 Fordham",A10,28,21-7,"119.4
48","105.0
95",".8151
51","54.2
63","49.1
72","15.8
114","17.3
143","33.6
83","30.2
162","45.7
6","34.9
174","54.1
84","48.4
53","36.3
49","33.8
166","44.5
75","33.4
19","69.5
70","+0.45
49"
52,"Virginia Tech
   (A) 23 North Carolina",ACC,28,18-10,"116.8
65","102.8
59",".8131
52","52.4
134","50.4
122","14.8
50","17.5
130","31.7
140","32.5
278","34.7
195","27.6
25","51.7
183","53.7
266","35.6
84","30.2
19","39.4
181","39.8
188","67.1
203","+0.02
53"
53,"Oklahoma
   (A) 63 LSU",SEC,28,14-14,"123.6
22","108.8
169",".8119
53","54.7
51","51.9
209","14.6
42","15.1
281","33.7
76","32.9
296","35.5
170","34.3
153","54.4
77","51.8
184","36.7
41","34.7
218","44.6
70","38.9
158","66.4
237","-2.5
79"
54,"Grand Canyon
   (A) 28 Utah St.",MWC,28,18-10,"110.5
146","97.4
20",".8112
54","50.8
201","47.2
25","17.8
252","17.5
130","32.0
126","26.3
24","39.6
70","37.4
240","53.7
95","46.9
25","30.8
323","31.8
59","38.4
203","38.5
147","67.9
156","-2.1
71"
55,South Florida,Amer,28,20-8,"117.4
59","103.6
70",".8088
55","50.8
201","49.1
72","15.5
92","18.7
72","38.0
10","31.9
247","42.7
30","39.0
280","51.9
171","46.4
19","33.0
232","35.5
264","44.0
87","39.0
163","71.4
21","-1.1
64"
56,"California
   (H) 114 Pittsburgh",ACC,28,20-8,"115.6
79","102.3
52",".8028
56","52.6
125","49.0
70","14.9
53","15.9
238","25.9
322","31.2
206","37.9
109","36.6
221","49.9
255","51.5
170","37.5
26","30.3
23","42.7
122","41.3
249","67.5
181","+0.8
44"
57,"TCU
   (A) 106 Kansas St.",B12,28,18-10,"113.3
100","100.5
35",".8000
57","50.9
195","50.8
148","15.8
114","19.5
33","34.0
71","29.1
112","39.7
68","31.0
78","51.5
193","50.7
130","33.4
215","33.9
174","36.8
231","37.4
115","67.8
161","+0.48
48"
58,"USC
   (H) 16 Nebraska",B10,28,18-10,"113.1
107","100.5
36",".7957
58","50.9
195","49.1
72","17.6
238","16.7
178","33.7
76","31.4
216","46.0
4","34.9
174","51.9
171","51.6
176","32.6
247","30.3
23","33.9
298","41.1
241","70.8
28","+0.8
43"
59,Tulsa,Amer,29,23-6,"122.1
32","108.5
162",".7956
59","57.3
15","50.3
116","15.4
83","15.4
263","32.5
112","28.2
72","40.5
52","31.5
91","55.4
55","50.0
105","39.8
4","33.9
174","46.1
42","39.8
188","68.0
148","-0.8
60"
60,"Boise St.
   (A) 122 Fresno St.",MWC,28,17-11,"117.4
58","104.6
89",".7902
60","52.2
145","52.6
236","16.7
171","15.0
292","31.6
143","24.3
5","42.5
33","32.4
114","52.4
154","52.8
227","34.6
140","35.0
237","42.4
127","37.0
99","65.8
269","-2.2
72"
